City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
253,Pathankot,IN,32.2833,75.65,65.46,58,94,2.98,overcast clouds
254,Pangnirtung,CA,66.1451,-65.7125,1.56,96,100,1.92,overcast clouds
255,Sitka,US,57.0531,-135.33,39.09,60,100,13.8,light rain
256,Winnemucca,US,40.973,-117.7357,26.65,80,0,3.44,clear sky
257,Prince Rupert,CA,54.3161,-130.3201,29.55,62,75,3.53,broken clouds
258,Misratah,LY,32.3754,15.0925,66.56,67,37,4.63,scattered clouds
259,Huarmey,PE,-10.0681,-78.1522,63.41,87,21,6.67,few clouds
260,Terrace,CA,54.5163,-128.6035,21.11,49,75,16.11,broken clouds
261,Konza,KE,-1.7426,37.1294,61.54,88,100,6.06,moderate rain
262,Sulangan,PH,11.1373,123.7228,83.35,73,72,10.45,broken clouds
263,Long,TH,18.0761,99.8326,82.18,62,43,2.75,scattered clouds
264,Ust-Barguzin,RU,53.45,108.9833,23.43,73,72,2.82,broken clouds
265,Whitehorse,CA,60.7161,-135.0538,18.37,72,40,20.71,scattered clouds
266,Fortuna,US,40.5982,-124.1573,45.99,92,0,3.44,clear sky
267,Markala,ML,13.7021,-6.0659,73.62,16,20,8.84,few clouds
268,Naze,JP,28.3667,129.4833,70.41,78,72,10.85,broken clouds
269,Magallanes,PH,9.02,125.5172,86.25,65,87,4.7,overcast clouds
270,Sungaipenuh,ID,-2.0833,101.3833,67.42,93,100,0.96,moderate rain
271,Port Elizabeth,ZA,-33.918,25.5701,59.09,70,90,8.57,overcast clouds
272,Roblin,CA,51.23,-101.3565,5.18,93,100,5.75,overcast clouds
273,Deputatskiy,RU,69.3,139.9,-9.17,94,100,4.29,overcast clouds
274,Yara,CU,20.2753,-76.9533,71.22,88,0,5.5,clear sky
275,Kavaratti,IN,10.5669,72.642,82.8,70,59,10.94,broken clouds
276,Norilsk,RU,69.3535,88.2027,2.43,99,100,5.77,overcast clouds
277,Mattru,SL,7.6244,-11.8332,72.73,95,4,2.1,light rain
278,Elizabeth City,US,36.2946,-76.2511,60.03,88,100,11.9,overcast clouds
279,Buala,SB,-8.145,159.5921,83.05,77,100,10.25,light rain
280,Geraldton,AU,-28.7667,114.6,73.81,49,27,11.5,scattered clouds
281,Kahului,US,20.8947,-156.47,79.84,77,10,14.0,clear sky
282,Lata,PT,40.1629,-8.3327,56.07,92,1,2.46,clear sky
283,San Cristobal,VE,7.7669,-72.225,64.58,98,100,1.05,overcast clouds
284,Yerbogachen,RU,61.2767,108.0108,20.43,92,100,12.82,light snow
285,Pontianak,ID,-0.0333,109.3333,85.98,74,75,9.22,broken clouds
286,Birjand,IR,32.8663,59.2211,49.48,48,24,3.58,few clouds
